Country_Code,Country,Region,Year,Indicator_Name,Indicator_Code,Value,Source
COL,Colombia,Latin America,2020,Infrastructure Investment (Energy),IE.PPI.ENGY.CD,205230000.0,World Bank
COL,Colombia,Latin America,2020,Population,SP.POP.TOTL,50629997.0,World Bank
COL,Colombia,Latin America,2021,GNI per Capita,NY.GNP.PCAP.CD,6310.0,World Bank
COL,Colombia,Latin America,2021,Infrastructure Investment (Energy),IE.PPI.ENGY.CD,24000000.0,World Bank
COL,Colombia,Latin America,2021,Population,SP.POP.TOTL,51188173.0,World Bank
COL,Colombia,Latin America,2022,GNI per Capita,NY.GNP.PCAP.CD,6560.0,World Bank
COL,Colombia,Latin America,2022,Infrastructure Investment (Energy),IE.PPI.ENGY.CD,585560000.0,World Bank
COL,Colombia,Latin America,2022,Population,SP.POP.TOTL,51737944.0,World Bank
COL,Colombia,Latin America,2023,GNI per Capita,NY.GNP.PCAP.CD,6720.0,World Bank
COL,Colombia,Latin America,2023,Infrastructure Investment (Energy),IE.PPI.ENGY.CD,720900000.0,World Bank
COL,Colombia,Latin America,2023,Population,SP.POP.TOTL,52321152.0,World Bank
COL,Colombia,Latin America,2024,GNI per Capita,NY.GNP.PCAP.CD,7040.0,World Bank
COL,Colombia,Latin America,2024,Population,SP.POP.TOTL,52886363.0,World Bank
EGY,Egypt,Africa,2018,GNI per Capita,NY.GNP.PCAP.CD,2710.0,World Bank
EGY,Egypt,Africa,2018,Population,SP.POP.TOTL,105682094.0,World Bank
EGY,Egypt,Africa,2019,GNI per Capita,NY.GNP.PCAP.CD,2640.0,World Bank
EGY,Egypt,Africa,2019,Infrastructure Investment (Energy),IE.PPI.ENGY.CD,335000000.0,World Bank
EGY,Egypt,Africa,2019,Population,SP.POP.TOTL,107553158.0,World Bank
EGY,Egypt,Africa,2020,GNI per Capita,NY.GNP.PCAP.CD,2960.0,World Bank
EGY,Egypt,Africa,2020,Population,SP.POP.TOTL,109315124.0,World Bank
EGY,Egypt,Africa,2021,GNI per Capita,NY.GNP.PCAP.CD,3470.0,World Bank
EGY,Egypt,Africa,2021,Population,SP.POP.TOTL,110957008.0,World Bank
EGY,Egypt,Africa,2022,GNI per Capita,NY.GNP.PCAP.CD,4040.0,World Bank
EGY,Egypt,Africa,2022,Infrastructure Investment (Energy),IE.PPI.ENGY.CD,1039000000.0,World Bank
EGY,Egypt,Africa,2022,Population,SP.POP.TOTL,112618250.0,World Bank
EGY,Egypt,Africa,2023,GNI per Capita,NY.GNP.PCAP.CD,3840.0,World Bank
EGY,Egypt,Africa,2023,Infrastructure Investment (Energy),IE.PPI.ENGY.CD,869400000.0,World Bank
EGY,Egypt,Africa,2023,Population,SP.POP.TOTL,114535772.0,World Bank
EGY,Egypt,Africa,2024,GNI per Capita,NY.GNP.PCAP.CD,3510.0,World Bank
EGY,Egypt,Africa,2024,Population,SP.POP.TOTL,116538258.0,World Bank
ETH,Ethiopia,Africa,2018,Education Expenditure (% of GDP),SE.XPD.TOTL.GD.ZS,5.22011189522399,World Bank
ETH,Ethiopia,Africa,2018,GNI per Capita,NY.GNP.PCAP.CD,730.0,World Bank
ETH,Ethiopia,Africa,2018,Population,SP.POP.TOTL,112664152.0,World Bank
ETH,Ethiopia,Africa,2018,Railway Infrastructure,IS.RRS.TOTL.KM,754.0,World Bank
ETH,Ethiopia,Africa,2019,Education Expenditure (% of GDP),SE.XPD.TOTL.GD.ZS,4.48086946127054,World Bank
ETH,Ethiopia,Africa,2019,GNI per Capita,NY.GNP.PCAP.CD,790.0,World Bank
ETH,Ethiopia,Africa,2019,Population,SP.POP.TOTL,115737383.0,World Bank
ETH,Ethiopia,Africa,2020,Education Expenditure (% of GDP),SE.XPD.TOTL.GD.ZS,4.0905654220699,World Bank
ETH,Ethiopia,Africa,2020,GNI per Capita,NY.GNP.PCAP.CD,820.0,World Bank
ETH,Ethiopia,Africa,2020,Population,SP.POP.TOTL,118917671.0,World Bank
ETH,Ethiopia,Africa,2021,Education Expenditure (% of GDP),SE.XPD.TOTL.GD.ZS,4.06524874309096,World Bank
ETH,Ethiopia,Africa,2021,GNI per Capita,NY.GNP.PCAP.CD,880.0,World Bank
ETH,Ethiopia,Africa,2021,Infrastructure Investment (Energy),IE.PPI.ENGY.CD,271000000.0,World Bank
ETH,Ethiopia,Africa,2021,Population,SP.POP.TOTL,122138588.0,World Bank
ETH,Ethiopia,Africa,2022,Education Expenditure (% of GDP),SE.XPD.TOTL.GD.ZS,3.73649512188829,World Bank
ETH,Ethiopia,Africa,2022,GNI per Capita,NY.GNP.PCAP.CD,960.0,World Bank
ETH,Ethiopia,Africa,2022,Population,SP.POP.TOTL,125384287.0,World Bank
ETH,Ethiopia,Africa,2023,Education Expenditure (% of GDP),SE.XPD.TOTL.GD.ZS,2.9272447768927,World Bank
ETH,Ethiopia,Africa,2023,GNI per Capita,NY.GNP.PCAP.CD,1030.0,World Bank
ETH,Ethiopia,Africa,2023,Population,SP.POP.TOTL,128691692.0,World Bank
ETH,Ethiopia,Africa,2024,Education Expenditure (% of GDP),SE.XPD.TOTL.GD.ZS,2.2978069565991,World Bank
ETH,Ethiopia,Africa,2024,GNI per Capita,NY.GNP.PCAP.CD,1100.0,World Bank
ETH,Ethiopia,Africa,2024,Population,SP.POP.TOTL,132059767.0,World Bank
GHA,Ghana,Africa,2018,Education Expenditure (% of GDP),SE.XPD.TOTL.GD.ZS,3.8861300945282,World Bank
GHA,Ghana,Africa,2018,GNI per Capita,NY.GNP.PCAP.CD,2060.0,World Bank
GHA,Ghana,Africa,2018,Population,SP.POP.TOTL,30637585.0,World Bank
GHA,Ghana,Africa,2019,Education Expenditure (% of GDP),SE.XPD.TOTL.GD.ZS,3.15307114842573,World Bank
GHA,Ghana,Africa,2019,GNI per Capita,NY.GNP.PCAP.CD,2170.0,World Bank
GHA,Ghana,Africa,2019,Infrastructure Investment (Energy),IE.PPI.ENGY.CD,1533000000.0,World Bank
GHA,Ghana,Africa,2019,Population,SP.POP.TOTL,31258945.0,World Bank
GHA,Ghana,Africa,2020,Education Expenditure (% of GDP),SE.XPD.TOTL.GD.ZS,3.40915991351725,World Bank
GHA,Ghana,Africa,2020,GNI per Capita,NY.GNP.PCAP.CD,2250.0,World Bank
GHA,Ghana,Africa,2020,Population,SP.POP.TOTL,31887809.0,World Bank
GHA,Ghana,Africa,2021,Education Expenditure (% of GDP),SE.XPD.TOTL.GD.ZS,3.4005042684722,World Bank
GHA,Ghana,Africa,2021,GNI per Capita,NY.GNP.PCAP.CD,2300.0,World Bank
GHA,Ghana,Africa,2021,Population,SP.POP.TOTL,32518665.0,World Bank
GHA,Ghana,Africa,2022,Education Expenditure (% of GDP),SE.XPD.TOTL.GD.ZS,2.90963831638452,World Bank
GHA,Ghana,Africa,2022,GNI per Capita,NY.GNP.PCAP.CD,2400.0,World Bank
GHA,Ghana,Africa,2022,Population,SP.POP.TOTL,33149152.0,World Bank
GHA,Ghana,Africa,2023,GNI per Capita,NY.GNP.PCAP.CD,2280.0,World Bank
GHA,Ghana,Africa,2023,Population,SP.POP.TOTL,33787914.0,World Bank
GHA,Ghana,Africa,2024,GNI per Capita,NY.GNP.PCAP.CD,2310.0,World Bank
GHA,Ghana,Africa,2024,Population,SP.POP.TOTL,34427414.0,World Bank
IND,India,Asia,2018,Education Expenditure (% of GDP),SE.XPD.TOTL.GD.ZS,4.36373996734619,World Bank
IND,India,Asia,2018,GNI per Capita,NY.GNP.PCAP.CD,1970.0,World Bank
IND,India,Asia,2018,Infrastructure Investment (Energy),IE.PPI.ENGY.CD,1639510000.0,World Bank
IND,India,Asia,2018,Population,SP.POP.TOTL,1374659064.0,World Bank
IND,India,Asia,2018,Railway Infrastructure,IS.RRS.TOTL.KM,69249.0,World Bank
IND,India,Asia,2019,Education Expenditure (% of GDP),SE.XPD.TOTL.GD.ZS,3.89732003211975,World Bank
IND,India,Asia,2019,GNI per Capita,NY.GNP.PCAP.CD,2070.0,World Bank
IND,India,Asia,2019,Infrastructure Investment (Energy),IE.PPI.ENGY.CD,856350000.0,World Bank
IND,India,Asia,2019,Population,SP.POP.TOTL,1389030312.0,World Bank
IND,India,Asia,2019,Railway Infrastructure,IS.RRS.TOTL.KM,67414.07,World Bank
IND,India,Asia,2020,Education Expenditure (% of GDP),SE.XPD.TOTL.GD.ZS,4.29335021972656,World Bank
IND,India,Asia,2020,GNI per Capita,NY.GNP.PCAP.CD,1900.0,World Bank
IND,India,Asia,2020,Infrastructure Investment (Energy),IE.PPI.ENGY.CD,3303310000.0,World Bank
IND,India,Asia,2020,Population,SP.POP.TOTL,1402617695.0,World Bank
IND,India,Asia,2020,Railway Infrastructure,IS.RRS.TOTL.KM,67955.63,World Bank
IND,India,Asia,2021,Education Expenditure (% of GDP),SE.XPD.TOTL.GD.ZS,4.62949991226196,World Bank
IND,India,Asia,2021,GNI per Capita,NY.GNP.PCAP.CD,2170.0,World Bank
IND,India,Asia,2021,Infrastructure Investment (Energy),IE.PPI.ENGY.CD,1621240000.0,World Bank
IND,India,Asia,2021,Population,SP.POP.TOTL,1414203896.0,World Bank
IND,India,Asia,2021,Railway Infrastructure,IS.RRS.TOTL.KM,68102.73,World Bank
IND,India,Asia,2022,Education Expenditure (% of GDP),SE.XPD.TOTL.GD.ZS,4.09865814174589,World Bank
IND,India,Asia,2022,GNI per Capita,NY.GNP.PCAP.CD,2390.0,World Bank
IND,India,Asia,2022,Infrastructure Investment (Energy),IE.PPI.ENGY.CD,2469730000.0,World Bank
IND,India,Asia,2022,Population,SP.POP.TOTL,1425423212.0,World Bank
IND,India,Asia,2023,GNI per Capita,NY.GNP.PCAP.CD,2580.0,World Bank
IND,India,Asia,2023,Infrastructure Investment (Energy),IE.PPI.ENGY.CD,4467300000.0,World Bank
IND,India,Asia,2023,Population,SP.POP.TOTL,1438069596.0,World Bank
IND,India,Asia,2024,GNI per Capita,NY.GNP.PCAP.CD,2650.0,World Bank
IND,India,Asia,2024,Population,SP.POP.TOTL,1450935791.0,World Bank
IDN,Indonesia,Asia,2018,Education Expenditure (% of GDP),SE.XPD.TOTL.GD.ZS,0.994436460846179,World Bank
IDN,Indonesia,Asia,2018,GNI per Capita,NY.GNP.PCAP.CD,3810.0,World Bank
IDN,Indonesia,Asia,2018,Infrastructure Investment (Energy),IE.PPI.ENGY.CD,3420100000.0,World Bank
IDN,Indonesia,Asia,2018,Population,SP.POP.TOTL,269951846.0,World Bank
IDN,Indonesia,Asia,2018,Railway Infrastructure,IS.RRS.TOTL.KM,5483.312,World Bank
IDN,Indonesia,Asia,2019,Education Expenditure (% of GDP),SE.XPD.TOTL.GD.ZS,0.964399077622927,World Bank
IDN,Indonesia,Asia,2019,GNI per Capita,NY.GNP.PCAP.CD,4020.0,World Bank
IDN,Indonesia,Asia,2019,Infrastructure Investment (Energy),IE.PPI.ENGY.CD,290000000.0,World Bank
IDN,Indonesia,Asia,2019,Population,SP.POP.TOTL,272489381.0,World Bank
IDN,Indonesia,Asia,2019,Railway Infrastructure,IS.RRS.TOTL.KM,5483.0,World Bank
IDN,Indonesia,Asia,2020,Education Expenditure (% of GDP),SE.XPD.TOTL.GD.ZS,1.01593221347809,World Bank
IDN,Indonesia,Asia,2020,GNI per Capita,NY.GNP.PCAP.CD,3850.0,World Bank
IDN,Indonesia,Asia,2020,Population,SP.POP.TOTL,274814866.0,World Bank
IDN,Indonesia,Asia,2021,Education Expenditure (% of GDP),SE.XPD.TOTL.GD.ZS,1.03221750658374,World Bank
IDN,Indonesia,Asia,2021,GNI per Capita,NY.GNP.PCAP.CD,4130.0,World Bank
IDN,Indonesia,Asia,2021,Infrastructure Investment (Energy),IE.PPI.ENGY.CD,150000000.0,World Bank
IDN,Indonesia,Asia,2021,Population,SP.POP.TOTL,276758053.0,World Bank
IDN,Indonesia,Asia,2022,Education Expenditure (% of GDP),SE.XPD.TOTL.GD.ZS,0.863943349575907,World Bank
IDN,Indonesia,Asia,2022,GNI per Capita,NY.GNP.PCAP.CD,4520.0,World Bank
IDN,Indonesia,Asia,2022,Population,SP.POP.TOTL,278830529.0,World Bank
IDN,Indonesia,Asia,2023,Education Expenditure (% of GDP),SE.XPD.TOTL.GD.ZS,1.27517088245674,World Bank
IDN,Indonesia,Asia,2023,GNI per Capita,NY.GNP.PCAP.CD,4810.0,World Bank
IDN,Indonesia,Asia,2023,Infrastructure Investment (Energy),IE.PPI.ENGY.CD,171000000.0,World Bank
IDN,Indonesia,Asia,2023,Population,SP.POP.TOTL,281190067.0,World Bank
IDN,Indonesia,Asia,2024,GNI per Capita,NY.GNP.PCAP.CD,4910.0,World Bank
IDN,Indonesia,Asia,2024,Population,SP.POP.TOTL,283487931.0,World Bank
JOR,Jordan,Middle East,2018,Education Expenditure (% of GDP),SE.XPD.TOTL.GD.ZS,2.95461988449097,World Bank
JOR,Jordan,Middle East,2018,GNI per Capita,NY.GNP.PCAP.CD,4090.0,World Bank
JOR,Jordan,Middle East,2018,Infrastructure Investment (Energy),IE.PPI.ENGY.CD,165000000.0,World Bank
JOR,Jordan,Middle East,2018,Population,SP.POP.TOTL,10462306.0,World Bank
JOR,Jordan,Middle East,2019,Education Expenditure (% of GDP),SE.XPD.TOTL.GD.ZS,2.98846006393433,World Bank
JOR,Jordan,Middle East,2019,GNI per Capita,NY.GNP.PCAP.CD,4190.0,World Bank
JOR,Jordan,Middle East,2019,Infrastructure Investment (Energy),IE.PPI.ENGY.CD,74000000.0,World Bank
JOR,Jordan,Middle East,2019,Population,SP.POP.TOTL,10671891.0,World Bank
JOR,Jordan,Middle East,2020,Education Expenditure (% of GDP),SE.XPD.TOTL.GD.ZS,3.55303483980158,World Bank
JOR,Jordan,Middle East,2020,GNI per Capita,NY.GNP.PCAP.CD,4070.0,World Bank
JOR,Jordan,Middle East,2020,Population,SP.POP.TOTL,10865228.0,World Bank
JOR,Jordan,Middle East,2021,Education Expenditure (% of GDP),SE.XPD.TOTL.GD.ZS,3.13837003707886,World Bank
JOR,Jordan,Middle East,2021,GNI per Capita,NY.GNP.PCAP.CD,4240.0,World Bank
JOR,Jordan,Middle East,2021,Population,SP.POP.TOTL,11066356.0,World Bank
JOR,Jordan,Middle East,2022,Education Expenditure (% of GDP),SE.XPD.TOTL.GD.ZS,3.15300011634827,World Bank
JOR,Jordan,Middle East,2022,GNI per Capita,NY.GNP.PCAP.CD,4380.0,World Bank
JOR,Jordan,Middle East,2022,Population,SP.POP.TOTL,11256263.0,World Bank
JOR,Jordan,Middle East,2023,Education Expenditure (% of GDP),SE.XPD.TOTL.GD.ZS,3.51486315596325,World Bank
JOR,Jordan,Middle East,2023,GNI per Capita,NY.GNP.PCAP.CD,4450.0,World Bank
JOR,Jordan,Middle East,2023,Population,SP.POP.TOTL,11439213.0,World Bank
JOR,Jordan,Middle East,2024,GNI per Capita,NY.GNP.PCAP.CD,4430.0,World Bank
JOR,Jordan,Middle East,2024,Population,SP.POP.TOTL,11552876.0,World Bank
KEN,Kenya,Africa,2018,Education Expenditure (% of GDP),SE.XPD.TOTL.GD.ZS,5.10761976242065,World Bank
KEN,Kenya,Africa,2018,GNI per Capita,NY.GNP.PCAP.CD,1720.0,World Bank
KEN,Kenya,Africa,2018,Infrastructure Investment (Energy),IE.PPI.ENGY.CD,300000000.0,World Bank
KEN,Kenya,Africa,2018,Population,SP.POP.TOTL,50207107.0,World Bank
KEN,Kenya,Africa,2019,Education Expenditure (% of GDP),SE.XPD.TOTL.GD.ZS,5.37359210998097,World Bank
KEN,Kenya,Africa,2019,GNI per Capita,NY.GNP.PCAP.CD,1880.0,World Bank
KEN,Kenya,Africa,2019,Infrastructure Investment (Energy),IE.PPI.ENGY.CD,220200000.0,World Bank
KEN,Kenya,Africa,2019,Population,SP.POP.TOTL,51202827.0,World Bank
